filter_id,site_id,dna_extract_tube_id,sample_type,preservative,fraction,dna_concentration_ng_per_ul,log10_dna_concentration,dna_concentration_in_normalized_plate_ng_per_ul,pcr_plate_well_id,pcr_gel_score,pcr_concentration_ng_per_ul,date_and_time_collection,volume_filtered_ml,date_and_time_end,duration_on_ice_min,duration_on_ice_hours
adu-1123-cs,adu,rme_01,Sample,No Pres,Filter,0.528942910722051,-0.276591199224429,0.1679507775,A1,1,2.7129566832229464,2023-11-04T12:45:00Z,1790,2023-11-04T18:00:00Z,315,5.25
agt-1123-cs,agt,rme_02,Sample,No Pres,Filter,0.147845275506803,-0.83019254908246,0.22048835699999997,B1,1,2.772658064352031,2023-11-04T15:10:00Z,1800,2023-11-04T18:00:00Z,170,2.8333333333333335
cga-1123-cs,cga,rme_03,Sample,No Pres,Filter,0.158499181507941,-0.799972976143406,0.23267541,C1,1,2.867098095861965,2023-11-04T16:15:00Z,1990,2023-11-04T18:00:00Z,105,1.75
cmu-1123-cs,cmu,rme_04,Sample,No Pres,Filter,0.365702918738243,-0.436871573468751,0.11313105300000001,D1,1,4.078354099960187,2023-11-04T09:09:00Z,1980,2023-11-04T18:00:00Z,531,8.85
cvi-1123-cs,cvi,rme_05,Sample,No Pres,Filter,0.398742692025622,-0.399307263413209,0.25,E1,1,4.653915928901665,2023-11-04T10:42:00Z,1950,2023-11-04T18:00:00Z,438,7.3
hpo-1123-cs,hpo,rme_06,Sample,No Pres,Filter,0.30282793779207,-0.518804060911622,0.096062919,F1,1,3.006651196198937,2023-11-04T17:21:00Z,1830,2023-11-04T18:00:00Z,39,0.65
jre-1123-cs,jre,rme_07,Sample,No Pres,Filter,0.194982596734709,-0.710004150070178,0.061948933500000004,G1,1,2.1406370072007705,2023-11-04T17:05:00Z,1850,2023-11-04T18:00:00Z,55,0.9166666666666666
mch-1123-cs,mch,rme_08,Sample,No Pres,Filter,0.383066006849118,-0.41672638545588,0.12135132900000001,H1,0,1.0321905587915228,2023-11-04T12:08:00Z,1950,2023-11-04T18:00:00Z,352,5.866666666666666
okg-1123-cs,okg,rme_09,Sample,No Pres,Filter,0.364322435343327,-0.438514083641994,0.25,A2,1,1.9608112692195545,2023-11-04T15:22:00Z,1830,2023-11-04T18:00:00Z,158,2.6333333333333333
rre-1123-cs,rre,rme_10,Sample,No Pres,Filter,0.424968598019688,-0.37164315985703,0.25,B2,1,2.0067535468312907,2023-11-04T11:36:00Z,1910,2023-11-04T18:00:00Z,384,6.4
sip-1123-cs,sip,rme_11,Sample,No Pres,Filter,0.538719643377914,-0.26863718845052,0.25,C2,1,1.9792724995883493,2023-11-04T13:05:00Z,1780,2023-11-04T18:00:00Z,295,4.916666666666667
spo-1123-cs,spo,rme_12,Sample,No Pres,Filter,0.375637762261233,-0.425230755284201,0.11828706,E2,1,4.1255529449794235,2023-11-04T10:00:00Z,1990,2023-11-04T18:00:00Z,480,8
wha-1123-cs,wha,rme_13,Sample,No Pres,Filter,0.480143645712053,-0.318628814275876,0.25,F2,1,2.7860262609296536,2023-11-04T07:38:00Z,1700,2023-11-04T18:00:00Z,622,10.366666666666667
nfc-1123-cs,nfc,rme_14,Field Control,Field Ctrl,Filter,0.095477658621698,-1.02009823964585,0.029111416500000004,G2,0,0.585163461496103,2023-11-04T07:38:00Z,1000,2023-11-04T18:00:00Z,622,10.366666666666667
nec-0124-nc01,nec,rme_15,Extraction Control,Ext Ctrl,Filter,0.0851217588148849,-1.06995941141524,0.0260365905,H2,0,0.3404669231869296,NA,NA,NA,NA,NA
wha-1123-ds,wha,rme_16,Sample,DESS,Filter,0.393947945247474,-0.404561160370669,0.25,A3,1,1.931898407066885,2023-11-04T07:38:00Z,1900,2023-11-04T18:00:00Z,622,10.366666666666667
adu-1123-tl,adu,rme_17,Sample,Buffer TL,Filter,0.0930293428109374,-1.03138004702744,0.1370101335,B3,0,0.866865903222285,2023-11-04T12:45:00Z,1950,2023-11-04T18:00:00Z,315,5.25
jre-1123-ds,jre,rme_18,Sample,DESS,Filter,0.143358362825429,-0.843576967363465,0.21706469550000002,C3,1,1.4808160979717486,2023-11-04T17:05:00Z,1820,2023-11-04T18:00:00Z,55,0.9166666666666666
adu-1123-ds,adu,rme_19,Sample,DESS,Filter,0.447067811011567,-0.349626598312031,0.25,D3,1,1.5550804801709797,2023-11-04T12:45:00Z,2050,2023-11-04T18:00:00Z,315,5.25
wha-1123-tl,wha,rme_20,Sample,Buffer TL,Filter,0.0793396321767312,-1.10050981727233,0.11703650400000001,E3,1,0.8537445149480578,2023-11-04T07:38:00Z,1740,2023-11-04T18:00:00Z,622,10.366666666666667
sip-1123-tl,sip,rme_21,Sample,Buffer TL,Filter,0.140814973048831,-0.851351163611867,0.208096026,F3,1,1.3428550767439091,2023-11-04T13:05:00Z,1950,2023-11-04T18:00:00Z,295,4.916666666666667
agt-1123-tl,agt,rme_22,Sample,Buffer TL,Filter,0.0732082639241783,-1.13543989197309,0.10770552600000001,G3,0,0.7941179775763061,2023-11-04T15:10:00Z,1710,2023-11-04T18:00:00Z,170,2.8333333333333335
cvi-1123-tl,cvi,rme_23,Sample,Buffer TL,Filter,0.0512725375810328,-1.29011518792009,0.07462129349999999,H3,0,0.7480851654203118,2023-11-04T10:42:00Z,1850,2023-11-04T18:00:00Z,438,7.3
nec-0124-nc02,nec,rme_24,Extraction Control,Ext Ctrl,Filter,0.0407179195463667,-1.39021442007736,0.060910702500000004,A4,0,0.3742601842104041,NA,NA,NA,NA,NA
rre-1123-ds,rre,rme_25,Sample,DESS,Filter,0.289234941200596,-0.538749243002768,0.25,B4,1,1.849672832687283,2023-11-04T11:36:00Z,1860,2023-11-04T18:00:00Z,384,6.4
mch-1123-ds,mch,rme_26,Sample,DESS,Filter,0.42644367900431,-0.370138318571015,0.25,C4,1,2.1387588094262977,2023-11-04T12:08:00Z,1650,2023-11-04T18:00:00Z,352,5.866666666666666
rre-1123-tl,rre,rme_27,Sample,Buffer TL,Filter,0.0767733656819723,-1.11478941985859,0.1116432915,D4,1,0.943693356355898,2023-11-04T11:36:00Z,1780,2023-11-04T18:00:00Z,384,6.4
nfc-1123-ds,nfc,rme_28,Field Control,Field Ctrl,Filter,0.0492956222525006,-1.30719164697024,0.0733366065,F4,0,0.2324755432176157,2023-11-04T17:21:00Z,1000,2023-11-04T18:00:00Z,39,0.65
okg-1123-ds,okg,rme_29,Sample,DESS,Filter,0.272048484457935,-0.565353689141975,0.25000000000000006,G4,1,2.1854318261197205,2023-11-04T15:22:00Z,1680,2023-11-04T18:00:00Z,158,2.6333333333333333
hpo-1123-ds,hpo,rme_30,Sample,DESS,Filter,0.362175287446431,-0.441081186522789,0.25,H4,1,1.3527468852432585,2023-11-04T17:21:00Z,1950,2023-11-04T18:00:00Z,39,0.65
mch-1123-tl,mch,rme_31,Sample,Buffer TL,Filter,0.0872136873145902,-1.05941535154997,0.127925925,A5,0,0.8454798445205223,2023-11-04T12:08:00Z,1830,2023-11-04T18:00:00Z,352,5.866666666666666
spo-1123-ds,spo,rme_32,Sample,DESS,Filter,0.599430657164153,-0.222261049350424,0.25,B5,1,2.543657103867167,2023-11-04T10:00:00Z,1950,2023-11-04T18:00:00Z,480,8
spo-1123-tl,spo,rme_33,Sample,Buffer TL,Filter,0.0726004623474129,-1.13906061353833,0.10498094849999999,C5,1,1.212286698855304,2023-11-04T10:00:00Z,1870,2023-11-04T18:00:00Z,480,8
sip-1123-ds,sip,rme_34,Sample,DESS,Filter,0.611900862061324,-0.213318934957932,0.25,D5,1,1.9003856787788271,2023-11-04T13:05:00Z,1690,2023-11-04T18:00:00Z,295,4.916666666666667
nec-0124-nc03,nec,rme_35,Extraction Control,Ext Ctrl,Filter,0.0495408747725811,-1.30503632908747,0.0747491055,E5,0,0.2297589876768114,NA,NA,NA,NA,NA
okg-1123-tl,okg,rme_36,Sample,Buffer TL,Filter,0.0694471324554993,-1.15834568202808,0.10512660600000001,F5,0,0.5288222053560092,2023-11-04T15:22:00Z,1850,2023-11-04T18:00:00Z,158,2.6333333333333333
cmu-1123-tl,cmu,rme_37,Sample,Buffer TL,Filter,0.0689022808441335,-1.16176640158111,0.101480016,G5,1,0.937838665431742,2023-11-04T09:09:00Z,1860,2023-11-04T18:00:00Z,531,8.85
