"dna_plate_id","dna_extract_tube_id","sample_type","treatment","dna_plate_row","dna_plate_col","site_code","treatment_code","sample_id","ng_per_ul","ng_per_ul_lwr95","ng_per_ul_upr95","source","extraction_round","extraction_strategy","log10_dna_concentration"
"rme_dna_2024-02-06","rme_01","sample","no preservative","F",1,"adu","np","adu-1123-cs",0.528942910722051,0.27090967009775,0.681658659080414,"filter","first","filter_first",-0.276591199224429
"rme_dna_2024-02-06","rme_02","sample","no preservative","E",1,"agt","np","agt-1123-cs",0.147845275506803,0.107115447456962,0.260502974350941,"filter","first","filter_first",-0.83019254908246
"rme_dna_2024-02-06","rme_03","sample","no preservative","A",7,"cga","np","cga-1123-cs",0.158499181507941,0.11570390609286,0.238965282286933,"filter","first","filter_first",-0.799972976143406
"rme_dna_2024-02-06","rme_04","sample","no preservative","D",4,"cmu","np","cmu-1123-cs",0.365702918738243,0.199889943691013,0.471974202657483,"filter","first","filter_first",-0.436871573468751
"rme_dna_2024-02-06","rme_05","sample","no preservative","C",10,"cvi","np","cvi-1123-cs",0.398742692025622,0.22051462180496,0.522199702978016,"filter","first","filter_first",-0.399307263413209
"rme_dna_2024-02-06","rme_06","sample","no preservative","H",11,"hpo","np","hpo-1123-cs",0.30282793779207,0.158005853369338,0.402081771241746,"filter","first","filter_first",-0.518804060911622
"rme_dna_2024-02-06","rme_07","sample","no preservative","H",7,"jre","np","jre-1123-cs",0.194982596734709,0.131267070449073,0.26559074983614,"filter","first","filter_first",-0.710004150070178
"rme_dna_2024-02-06","rme_08","sample","no preservative","C",3,"mch","np","mch-1123-cs",0.383066006849118,0.214369590779949,0.492795753924894,"filter","first","filter_first",-0.41672638545588
"rme_dna_2024-02-06","rme_09","sample","no preservative","G",1,"okg","np","okg-1123-cs",0.364322435343327,0.205717869256237,0.460360810751131,"filter","first","filter_first",-0.438514083641994
"rme_dna_2024-02-06","rme_10","sample","no preservative","F",9,"rre","np","rre-1123-cs",0.424968598019688,0.239011028569933,0.541669089485557,"filter","first","filter_first",-0.37164315985703
"rme_dna_2024-02-06","rme_11","sample","no preservative","F",2,"sip","np","sip-1123-cs",0.538719643377914,0.262193630751671,0.675432446337202,"filter","first","filter_first",-0.26863718845052
"rme_dna_2024-02-06","rme_12","sample","no preservative","E",8,"spo","np","spo-1123-cs",0.375637762261233,0.221703955693409,0.479066024953833,"filter","first","filter_first",-0.425230755284201
"rme_dna_2024-02-06","rme_13","sample","no preservative","E",2,"wha","np","wha-1123-cs",0.480143645712053,0.233253303962358,0.612267500474644,"filter","first","filter_first",-0.318628814275876
"rme_dna_2024-02-06","rme_14","field control","field control","E",5,"nfc","np","nfc-1123-cs",0.095477658621698,0.0677137569354102,0.12484108599912,"filter","first","filter_first",-1.02009823964585
"rme_dna_2024-02-06","rme_15","extraction control","extraction control","D",3,"nec","np","nec-0124-np",0.0851217588148849,0.0655759968955494,0.115701185761768,"filter","first","filter_first",-1.06995941141524
"rme_dna_2024-02-06","rme_16","sample","dess","E",7,"wha","ds","wha-1123-ds",0.393947945247474,0.226911448367194,0.496450005697128,"filter","first","filter_first",-0.404561160370669
"rme_dna_2024-02-06","rme_17","sample","buffer tl","D",2,"adu","tl","adu-1123-tl",0.0930293428109374,0.0693142198664414,0.19462376390707,"filter","first","filter_first",-1.03138004702744
"rme_dna_2024-02-06","rme_18","sample","dess","A",3,"jre","ds","jre-1123-ds",0.143358362825429,0.0963529664692598,0.221479258148582,"filter","first","filter_first",-0.843576967363465
"rme_dna_2024-02-06","rme_19","sample","dess","H",8,"adu","ds","adu-1123-ds",0.447067811011567,0.160233503941623,0.569170068311271,"filter","first","filter_first",-0.349626598312031
"rme_dna_2024-02-06","rme_20","sample","buffer tl","H",10,"wha","tl","wha-1123-tl",0.0793396321767312,0.0606363094714506,0.15704671438613,"filter","first","filter_first",-1.10050981727233
"rme_dna_2024-02-06","rme_21","sample","buffer tl","D",1,"sip","tl","sip-1123-tl",0.140814973048831,0.0992362284736509,0.210643492714725,"filter","first","filter_first",-0.851351163611867
"rme_dna_2024-02-06","rme_22","sample","buffer tl","G",8,"agt","tl","agt-1123-tl",0.0732082639241783,0.0552022924254907,0.144598707651621,"filter","first","filter_first",-1.13543989197309
"rme_dna_2024-02-06","rme_23","sample","buffer tl","A",8,"cvi","tl","cvi-1123-tl",0.0512725375810328,0.0413497885224531,0.115340741819634,"filter","first","filter_first",-1.29011518792009
"rme_dna_2024-02-06","rme_24","extraction control","extraction control","A",1,"nec","np","nec-0124-np",0.0407179195463667,0.0330365444601093,0.0662805917817571,"filter","first","filter_first",-1.39021442007736
"rme_dna_2024-02-06","rme_25","sample","dess","H",2,"rre","ds","rre-1123-ds",0.289234941200596,0.180821345265451,0.397634856886931,"filter","first","filter_first",-0.538749243002768
"rme_dna_2024-02-06","rme_26","sample","dess","B",7,"mch","ds","mch-1123-ds",0.42644367900431,0.235475419090786,0.551190582982029,"filter","first","filter_first",-0.370138318571015
