quant_stage,dna_plate_id,dna_extract_tube_id,random_array,sample_type,preservative,dna_plate_row,dna_plate_col,sample_id,ng_per_ul_mean,ng_per_ul_lwr95,ng_per_ul_upr95,flags
original,rme_dna_2024-02-06,rme_01,61,sample,no preservative,F,1,adu-1123-cs,0.5289429107220509,0.2709096700977496,0.6816586590804141,
original,rme_dna_2024-02-06,rme_02,49,sample,no preservative,E,1,agt-1123-cs,0.14784527550680293,0.10711544745696196,0.2605029743509406,
original,rme_dna_2024-02-06,rme_03,7,sample,no preservative,A,7,cga-1123-cs,0.15849918150794107,0.11570390609285956,0.2389652822869331,
original,rme_dna_2024-02-06,rme_04,40,sample,no preservative,D,4,cmu-1123-cs,0.36570291873824334,0.19988994369101334,0.4719742026574826,
original,rme_dna_2024-02-06,rme_05,34,sample,no preservative,C,10,cvi-1123-cs,0.3987426920256215,0.22051462180496006,0.5221997029780162,
original,rme_dna_2024-02-06,rme_06,95,sample,no preservative,H,11,hpo-1123-cs,0.3028279377920703,0.15800585336933806,0.4020817712417456,
original,rme_dna_2024-02-06,rme_07,91,sample,no preservative,H,7,jre-1123-cs,0.19498259673470886,0.13126707044907268,0.2655907498361396,
original,rme_dna_2024-02-06,rme_08,27,sample,no preservative,C,3,mch-1123-cs,0.38306600684911796,0.21436959077994905,0.4927957539248939,
original,rme_dna_2024-02-06,rme_09,73,sample,no preservative,G,1,okg-1123-cs,0.36432243534332676,0.20571786925623747,0.46036081075113117,
original,rme_dna_2024-02-06,rme_10,69,sample,no preservative,F,9,rre-1123-cs,0.42496859801968756,0.23901102856993334,0.5416690894855567,
original,rme_dna_2024-02-06,rme_11,62,sample,no preservative,F,2,sip-1123-cs,0.5387196433779144,0.2621936307516705,0.6754324463372022,
original,rme_dna_2024-02-06,rme_12,56,sample,no preservative,E,8,spo-1123-cs,0.37563776226123313,0.22170395569340912,0.4790660249538333,
original,rme_dna_2024-02-06,rme_13,50,sample,no preservative,E,2,wha-1123-cs,0.48014364571205304,0.23325330396235788,0.6122675004746441,
